TICKER,DURATION,PERIODEND,INDEXNAME,FORECAST_VALUE,ORIGINAL_VALUE,FORECAST_CUMULATIVEVALUE,ORIGINAL_CUMULATIVEVALUE,COMMENT,FORECAST_ERROR_PERCENTAGE,RELEASEDDATE,YOYCHANGE,INDEXHEALTH
MELI,Est. Quarter,2024-12-31,Mercado Libre Transaction Index,18.148521162855523,18.996315988428563,244.72179113485555,238.99381843900002,QTD Forecast,-4.4629%,,,
MELI,Est. Quarter,2025-03-31,Mercado Libre Transaction Index,17.609775543498817,17.882961287571412,263.1793615069274,257.4111892801429,QTD Forecast,-1.5276%,,,
MELI,Est. Quarter,2025-06-30,Mercado Libre Transaction Index,18.76184108742983,19.869063036000007,282.21438833942983,276.39283016471427,QTD Forecast,-5.5726%,,,
MELI,Est. Quarter,2025-09-30,Mercado Libre Transaction Index,22.808224615772435,15.864411136999992,306.1298349017724,299.186021423,QTD Forecast,43.7698%,,,
MELI,Est. Quarter,2023-06-30,Mercado Pago Transaction Index,8.67971751737782,8.009710843414286,54.208792709977814,50.53129505417142,QTD Forecast,8.3649%,,,
MELI,Est. Quarter,2023-09-30,Mercado Pago Transaction Index,10.299899637645483,10.720257826628556,63.83868567415977,60.68362788502857,QTD Forecast,-3.9212%,,,
MELI,Est. Quarter,2023-12-31,Mercado Pago Transaction Index,12.244981128938498,12.738055046385712,76.50402499138136,72.61670784182857,QTD Forecast,-3.8709%,,,
MELI,Est. Quarter,2024-03-31,Mercado Pago Transaction Index,13.05755419450277,13.524286338285702,90.05465310293134,85.83205744771428,QTD Forecast,-3.4511%,,,
MELI,Est. Quarter,2024-06-30,Mercado Pago Transaction Index,14.951102485013813,15.452781242714288,105.47248773072809,100.80532849385715,QTD Forecast,-3.2465%,,,
MELI,Est. Quarter,2024-09-30,Mercado Pago Transaction Index,17.478913118487775,18.267411267571422,123.45307960691636,118.09895161342858,QTD Forecast,-4.3164%,,,
MELI,Est. Quarter,2024-12-31,Mercado Pago Transaction Index,20.39061537387225,21.234558793571452,144.63219312987223,138.15894600942858,QTD Forecast,-3.9744%,,,
MELI,Est. Quarter,2025-03-31,Mercado Pago Transaction Index,21.067537202121688,21.583204938428565,166.54367375269314,159.60403856828572,QTD Forecast,-2.3892%,,,
